,Fid,ALE,Fv,rFv,tFid
47738,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6248279358363582,-0.0794969096809971,-0.0004683751871432,Firmicutes bacterium CAG 94
47739,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6211758883608216,-0.0773067592220194,-0.0004554713883011,Firmicutes bacterium CAG 94
47740,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6234017472153424,-0.075826609249706,-0.0004467507283023,Firmicutes bacterium CAG 94
47741,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6224433826937077,-0.0747310592458648,-0.0004402960316338,Firmicutes bacterium CAG 94
47742,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6223239020630396,-0.0729064195520889,-0.000429545727484,Firmicutes bacterium CAG 94
47743,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6223272682414369,-0.0710283431863777,-0.0004184805883133,Firmicutes bacterium CAG 94
47744,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6223302104677335,-0.0696747778793223,-0.0004105057323529,Firmicutes bacterium CAG 94
47745,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6223353921929335,-0.0675952334729152,-0.0003982535957047,Firmicutes bacterium CAG 94
47746,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6274007575689493,-0.0662111843781313,-0.000390099137168,Firmicutes bacterium CAG 94
47747,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6269804598172499,-0.0645493431726277,-0.0003803079995156,Firmicutes bacterium CAG 94
47748,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6361832841642578,-0.0627926125827686,-0.0003699577982048,Firmicutes bacterium CAG 94
47749,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6380380050303345,-0.0608008523169609,-0.0003582228629603,Firmicutes bacterium CAG 94
47750,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6430624657713071,-0.0586911188103561,-0.0003457928599584,Firmicutes bacterium CAG 94
47751,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6303646087386625,-0.0567220494842855,-0.0003341916138496,Firmicutes bacterium CAG 94
47752,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.6287176117325217,-0.0547699083196053,-0.0003226901040802,Firmicutes bacterium CAG 94
47753,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.7588278577559351,-0.0523781588476979,-0.000308598536106,Firmicutes bacterium CAG 94
47754,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.772513835602874,-0.0486202707341599,-0.000286458033343,Firmicutes bacterium CAG 94
47755,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.8129199317768638,-0.046690885995335,-0.0002750905985365,Firmicutes bacterium CAG 94
47756,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.8346041879956256,-0.0455132164000649,-0.0002681520745198,Firmicutes bacterium CAG 94
47757,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.8479441202688196,-0.0432322366960211,-0.0002547131333076,Firmicutes bacterium CAG 94
47758,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.9392989886115828,-0.0413527851218411,-0.0002436398917651,Firmicutes bacterium CAG 94
47759,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.012295751852269,-0.037791322617947,-0.0002226566777828,Firmicutes bacterium CAG 94
47760,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.0143213066358077,-0.036072082830395,-0.000212527362562,Firmicutes bacterium CAG 94
47761,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,1.022870397278696,-0.0352294402125986,-0.0002075627306613,Firmicutes bacterium CAG 94
